,PLAYER_NAME,PLAYER_ID,cluster,cluster_name
0,A.J. Lawson,1630639,1,Floor Spacers
1,AJ Green,1631260,1,Floor Spacers
2,AJ Griffin,1631100,5,Role Players
3,Aaron Gordon,203932,4,Athletic Forwards
4,Aaron Holiday,1628988,6,Backup PGs
5,Aaron Nesmith,1630174,0,3-and-D Wings
6,Aaron Wiggins,1630598,1,Floor Spacers
7,Admiral Schofield,1629678,5,Role Players
8,Al Horford,201143,4,Athletic Forwards
9,Alec Burks,202692,0,3-and-D Wings
10,Aleksej Pokusevski,1630197,10,Stretch Bigs
11,Alex Caruso,1627936,0,3-and-D Wings
12,Alex Len,203458,9,Backup Bigs
13,Alperen Sengun,1630578,7,Elite Offensive Bigs
14,Amen Thompson,1641708,9,Backup Bigs
15,Amir Coffey,1629599,1,Floor Spacers
16,Andre Drummond,203083,2,Rim Runners
17,Andre Jackson Jr.,1641748,1,Floor Spacers
18,Andrew Nembhard,1629614,6,Backup PGs
19,Andrew Wiggins,203952,4,Athletic Forwards
20,Anfernee Simons,1629014,11,Elite Scoring Guards
21,Anthony Black,1641710,1,Floor Spacers
22,Anthony Davis,203076,7,Elite Offensive Bigs
23,Anthony Edwards,1630162,11,Elite Scoring Guards
24,Anthony Gill,1630264,10,Stretch Bigs
25,Ausar Thompson,1641709,10,Stretch Bigs
26,Austin Reaves,1630559,3,Secondary Scoring Guards
27,Ayo Dosunmu,1630245,0,3-and-D Wings
28,Bam Adebayo,1628389,7,Elite Offensive Bigs
29,Ben Sheppard,1641767,1,Floor Spacers
30,Bennedict Mathurin,1631097,6,Backup PGs
31,Bilal Coulibaly,1641731,1,Floor Spacers
32,Bismack Biyombo,202687,9,Backup Bigs
33,Blake Wesley,1631104,6,Backup PGs
34,Bobby Portis,1626171,4,Athletic Forwards
35,Bogdan Bogdanović,203992,0,3-and-D Wings
36,Bojan Bogdanovic,202711,0,3-and-D Wings
37,Bol Bol,1629626,10,Stretch Bigs
38,Bones Hyland,1630538,6,Backup PGs
39,Bradley Beal,203078,3,Secondary Scoring Guards
40,Brandin Podziemski,1641764,6,Backup PGs
41,Brandon Boston,1630527,5,Role Players
42,Brandon Ingram,1627742,8,Versatile Wings
43,Brandon Miller,1641706,0,3-and-D Wings
44,Braxton Key,1630296,5,Role Players
45,Brice Sensabaugh,1641729,6,Backup PGs
46,Brook Lopez,201572,4,Athletic Forwards
47,Bruce Brown,1628971,6,Backup PGs
48,Bruno Fernando,1628981,9,Backup Bigs
49,Bryce McGowens,1631121,1,Floor Spacers
50,Buddy Hield,1627741,0,3-and-D Wings
51,CJ McCollum,203468,3,Secondary Scoring Guards
52,Cade Cunningham,1630595,11,Elite Scoring Guards
53,Caleb Houstan,1631216,1,Floor Spacers
54,Caleb Martin,1628997,0,3-and-D Wings
