,PLAYER_NAME,PLAYER_ID,cluster,cluster_name
0,A.J. Lawson,1630639,11,Fringe Bigs
1,AJ Green,1631260,3,Floor Spacers
2,AJ Griffin,1631100,6,Low-usage Bench Players
3,Aaron Gordon,203932,4,Two-way Role Players
4,Aaron Holiday,1628988,1,Backup PGs
5,Aaron Nesmith,1630174,7,3-and-D Wings
6,Aaron Wiggins,1630598,3,Floor Spacers
7,Admiral Schofield,1629678,6,Low-usage Bench Players
8,Al Horford,201143,9,Stretch Bigs
9,Alec Burks,202692,7,3-and-D Wings
10,Aleksej Pokusevski,1630197,11,Fringe Bigs
11,Alex Caruso,1627936,7,3-and-D Wings
12,Alex Len,203458,12,Backup Bigs
13,Alperen Sengun,1630578,8,Elite Offensive Bigs
14,Amen Thompson,1641708,4,Two-way Role Players
15,Amir Coffey,1629599,3,Floor Spacers
16,Andre Drummond,203083,2,Rim Runners
17,Andre Jackson Jr.,1641748,6,Low-usage Bench Players
18,Andrew Nembhard,1629614,1,Backup PGs
19,Andrew Wiggins,203952,4,Two-way Role Players
20,Anfernee Simons,1629014,0,Elite Scoring Guards
21,Anthony Black,1641710,3,Floor Spacers
22,Anthony Davis,203076,8,Elite Offensive Bigs
23,Anthony Edwards,1630162,0,Elite Scoring Guards
24,Anthony Gill,1630264,11,Fringe Bigs
25,Ausar Thompson,1641709,4,Two-way Role Players
26,Austin Reaves,1630559,10,Secondary Scoring Guards
27,Ayo Dosunmu,1630245,7,3-and-D Wings
28,Bam Adebayo,1628389,8,Elite Offensive Bigs
29,Ben Sheppard,1641767,3,Floor Spacers
30,Bennedict Mathurin,1631097,4,Two-way Role Players
31,Bilal Coulibaly,1641731,3,Floor Spacers
32,Bismack Biyombo,202687,12,Backup Bigs
33,Blake Wesley,1631104,1,Backup PGs
34,Bobby Portis,1626171,9,Stretch Bigs
35,Bogdan Bogdanović,203992,7,3-and-D Wings
36,Bojan Bogdanovic,202711,7,3-and-D Wings
37,Bol Bol,1629626,11,Fringe Bigs
38,Bones Hyland,1630538,1,Backup PGs
39,Bradley Beal,203078,10,Secondary Scoring Guards
40,Brandin Podziemski,1641764,4,Two-way Role Players
41,Brandon Boston,1630527,11,Fringe Bigs
42,Brandon Ingram,1627742,5,Versatile Wings
43,Brandon Miller,1641706,7,3-and-D Wings
44,Braxton Key,1630296,6,Low-usage Bench Players
45,Brice Sensabaugh,1641729,3,Floor Spacers
46,Brook Lopez,201572,9,Stretch Bigs
47,Bruce Brown,1628971,4,Two-way Role Players
48,Bruno Fernando,1628981,12,Backup Bigs
49,Bryce McGowens,1631121,3,Floor Spacers
50,Buddy Hield,1627741,7,3-and-D Wings
51,CJ McCollum,203468,10,Secondary Scoring Guards
52,Cade Cunningham,1630595,0,Elite Scoring Guards
53,Caleb Houstan,1631216,3,Floor Spacers
54,Caleb Martin,1628997,7,3-and-D Wings
55,Cam Reddish,1629629,3,Floor Spacers
56,Cam Thomas,1630560,0,Elite Scoring Guards
57,Cam Whitmore,1641715,11,Fringe Bigs
58,Cameron Johnson,1629661,7,3-and-D Wings
59,Cameron Payne,1626166,1,Backup PGs
60,Caris LeVert,1627747,10,Secondary Scoring Guards
61,Cason Wallace,1641717,3,Floor Spacers
62,Cedi Osman,1626224,3,Floor Spacers
63,Chet Holmgren,1631096,9,Stretch Bigs
64,Chimezie Metu,1629002,11,Fringe Bigs
65,Chris Boucher,1628449,11,Fringe Bigs
66,Chris Duarte,1630537,3,Floor Spacers
67,Chris Livingston,1641753,6,Low-usage Bench Players
68,Chris Paul,101108,10,Secondary Scoring Guards
69,Christian Braun,1631128,3,Floor Spacers
70,Christian Wood,1626174,11,Fringe Bigs
71,Chuma Okeke,1629643,6,Low-usage Bench Players
72,Clint Capela,203991,2,Rim Runners
73,Coby White,1629632,10,Secondary Scoring Guards
74,Cody Martin,1628998,4,Two-way Role Players
75,Cody Zeller,203469,12,Backup Bigs
76,Colby Jones,1641732,6,Low-usage Bench Players
77,Cole Anthony,1630175,10,Secondary Scoring Guards
78,Collin Gillespie,1631221,1,Backup PGs
79,Collin Sexton,1629012,0,Elite Scoring Guards
80,Corey Kispert,1630557,7,3-and-D Wings
81,Cory Joseph,202709,6,Low-usage Bench Players
82,Craig Porter Jr.,1641854,1,Backup PGs
83,D'Angelo Russell,1626156,10,Secondary Scoring Guards
84,Dalano Banton,1630625,4,Two-way Role Players
85,Dalen Terry,1631207,6,Low-usage Bench Players
86,Damian Jones,1627745,12,Backup Bigs
87,Damian Lillard,203081,0,Elite Scoring Guards
88,Daniel Gafford,1629655,2,Rim Runners
89,Daniel Theis,1628464,12,Backup Bigs
90,Danilo Gallinari,201568,11,Fringe Bigs
91,Dante Exum,203957,1,Backup PGs
92,Danuel House Jr.,1627863,3,Floor Spacers
93,Dario Saric,203967,9,Stretch Bigs
94,Darius Garland,1629636,0,Elite Scoring Guards
95,David Roddy,1631223,3,Floor Spacers
96,Davion Mitchell,1630558,1,Backup PGs
97,Davis Bertans,202722,3,Floor Spacers
98,Day'Ron Sharpe,1630549,2,Rim Runners
99,De'Aaron Fox,1628368,0,Elite Scoring Guards
100,De'Andre Hunter,1629631,7,3-and-D Wings
101,De'Anthony Melton,1629001,7,3-and-D Wings
102,DeAndre Jordan,201599,12,Backup Bigs
103,DeMar DeRozan,201942,0,Elite Scoring Guards
104,Dean Wade,1629731,3,Floor Spacers
105,Deandre Ayton,1629028,2,Rim Runners
106,Dejounte Murray,1627749,0,Elite Scoring Guards
107,Delon Wright,1626153,1,Backup PGs
108,Deni Avdija,1630166,4,Two-way Role Players
109,Dennis Schröder,203471,10,Secondary Scoring Guards
110,Dennis Smith Jr.,1628372,1,Backup PGs
111,Dereck Lively II,1641726,2,Rim Runners
112,Derrick Jones Jr.,1627884,7,3-and-D Wings
113,Derrick Rose,201565,1,Backup PGs
114,Derrick White,1628401,10,Secondary Scoring Guards
115,Desmond Bane,1630217,10,Secondary Scoring Guards
116,Devin Booker,1626164,0,Elite Scoring Guards
117,Devin Vassell,1630170,10,Secondary Scoring Guards
118,Devonte' Graham,1628984,1,Backup PGs
119,Dillon Brooks,1628415,7,3-and-D Wings
120,Domantas Sabonis,1627734,8,Elite Offensive Bigs
121,Dominick Barlow,1631230,12,Backup Bigs
122,Donovan Mitchell,1628378,0,Elite Scoring Guards
123,Donte DiVincenzo,1628978,7,3-and-D Wings
124,Dorian Finney-Smith,1627827,3,Floor Spacers
125,Doug McDermott,203926,3,Floor Spacers
126,Draymond Green,203110,4,Two-way Role Players
127,Drew Eubanks,1629234,12,Backup Bigs
128,Duncan Robinson,1629130,7,3-and-D Wings
129,Duop Reath,1641871,11,Fringe Bigs
130,Dwight Powell,203939,12,Backup Bigs
131,Dyson Daniels,1630700,3,Floor Spacers
132,Eric Gordon,201569,7,3-and-D Wings
133,Eugene Omoruyi,1630647,11,Fringe Bigs
134,Evan Fournier,203095,3,Floor Spacers
135,Evan Mobley,1630596,2,Rim Runners
136,Franz Wagner,1630532,5,Versatile Wings
137,Fred VanVleet,1627832,10,Secondary Scoring Guards
138,Furkan Korkmaz,1627788,6,Low-usage Bench Players
139,GG Jackson,1641713,7,3-and-D Wings
140,Garrett Temple,202066,6,Low-usage Bench Players
141,Garrison Mathews,1629726,3,Floor Spacers
142,Gary Harris,203914,3,Floor Spacers
143,Gary Payton II,1627780,3,Floor Spacers
144,Gary Trent Jr.,1629018,7,3-and-D Wings
145,Georges Niang,1627777,7,3-and-D Wings
146,Giannis Antetokounmpo,203507,8,Elite Offensive Bigs
147,Goga Bitadze,1629048,12,Backup Bigs
148,Gordon Hayward,202330,4,Two-way Role Players
149,Gradey Dick,1641711,7,3-and-D Wings
150,Grant Williams,1629684,9,Stretch Bigs
151,Grayson Allen,1628960,7,3-and-D Wings
152,Gui Santos,1630611,11,Fringe Bigs
153,Harrison Barnes,203084,7,3-and-D Wings
154,Harry Giles III,1628385,11,Fringe Bigs
155,Haywood Highsmith,1629312,3,Floor Spacers
156,Herbert Jones,1630529,7,3-and-D Wings
157,Ibou Badji,1630641,12,Backup Bigs
158,Immanuel Quickley,1630193,10,Secondary Scoring Guards
159,Isaac Okoro,1630171,7,3-and-D Wings
160,Isaiah Hartenstein,1628392,2,Rim Runners
161,Isaiah Jackson,1630543,12,Backup Bigs
162,Isaiah Joe,1630198,3,Floor Spacers
163,Isaiah Livers,1630587,6,Low-usage Bench Players
164,Isaiah Stewart,1630191,9,Stretch Bigs
165,Ish Smith,202397,1,Backup PGs
166,Ivica Zubac,1627826,2,Rim Runners
167,JT Thor,1630550,6,Low-usage Bench Players
168,JaVale McGee,201580,12,Backup Bigs
169,Jabari Smith Jr.,1631095,9,Stretch Bigs
170,Jabari Walker,1631133,11,Fringe Bigs
171,Jacob Gilyard,1631367,1,Backup PGs
172,Jaden Hardy,1630702,1,Backup PGs
173,Jaden Ivey,1631093,10,Secondary Scoring Guards
174,Jaden McDaniels,1630183,7,3-and-D Wings
175,Jaden Springer,1630531,6,Low-usage Bench Players
176,Jae Crowder,203109,3,Floor Spacers
177,Jae'Sean Tate,1630256,3,Floor Spacers
178,Jaime Jaquez Jr.,1631170,4,Two-way Role Players
179,Jake LaRavia,1631222,4,Two-way Role Players
180,Jakob Poeltl,1627751,2,Rim Runners
181,Jalen Brunson,1628973,0,Elite Scoring Guards
182,Jalen Duren,1631105,2,Rim Runners
183,Jalen Green,1630224,10,Secondary Scoring Guards
184,Jalen Hood-Schifino,1641720,6,Low-usage Bench Players
185,Jalen Johnson,1630552,4,Two-way Role Players
186,Jalen McDaniels,1629667,6,Low-usage Bench Players
187,Jalen Pickett,1629618,1,Backup PGs
188,Jalen Smith,1630188,9,Stretch Bigs
189,Jalen Suggs,1630591,7,3-and-D Wings
190,Jalen Williams,1631114,10,Secondary Scoring Guards
191,Jalen Wilson,1630592,3,Floor Spacers
192,Jamal Cain,1631288,11,Fringe Bigs
193,Jamal Murray,1627750,0,Elite Scoring Guards
194,James Harden,201935,10,Secondary Scoring Guards
195,James Wiseman,1630164,12,Backup Bigs
196,Jarace Walker,1641716,6,Low-usage Bench Players
197,Jared Butler,1630215,1,Backup PGs
198,Jaren Jackson Jr.,1628991,5,Versatile Wings
199,Jarred Vanderbilt,1629020,12,Backup Bigs
200,Jarrett Allen,1628386,2,Rim Runners
201,Javon Freeman-Liberty,1631241,4,Two-way Role Players
202,Jaxson Hayes,1629637,12,Backup Bigs
203,Jay Huff,1630643,11,Fringe Bigs
204,Jaylen Brown,1627759,5,Versatile Wings
205,Jaylin Williams,1631119,6,Low-usage Bench Players
206,Jayson Tatum,1628369,5,Versatile Wings
207,Jeff Green,201145,11,Fringe Bigs
208,Jerami Grant,203924,5,Versatile Wings
209,Jeremiah Robinson-Earl,1630526,6,Low-usage Bench Players
210,Jeremy Sochan,1631110,4,Two-way Role Players
211,Jericho Sims,1630579,12,Backup Bigs
212,Jerome Robinson,1629010,11,Fringe Bigs
213,Jevon Carter,1628975,3,Floor Spacers
214,Jimmy Butler III,202710,5,Versatile Wings
215,Jock Landale,1629111,12,Backup Bigs
216,Joe Ingles,204060,3,Floor Spacers
217,Joel Embiid,203954,8,Elite Offensive Bigs
218,John Collins,1628381,9,Stretch Bigs
219,John Konchar,1629723,3,Floor Spacers
220,Johnny Davis,1631098,6,Low-usage Bench Players
221,Johnny Juzang,1630548,3,Floor Spacers
222,Jonas Valančiūnas,202685,2,Rim Runners
223,Jonathan Isaac,1628371,11,Fringe Bigs
224,Jonathan Kuminga,1630228,4,Two-way Role Players
225,Jontay Porter,1629007,6,Low-usage Bench Players
226,Jordan Clarkson,203903,10,Secondary Scoring Guards
227,Jordan Goodwin,1630692,4,Two-way Role Players
228,Jordan Hawkins,1641722,3,Floor Spacers
